Q-1,Q,Q+1,Q+2,Q+3,Q+4
0.823,3.320428571,4.679714286,3.105714286,2.599857143,2.328
3.320428571,4.679714286,3.105714286,2.599857143,2.328,2.363428571
4.679714286,3.105714286,2.599857143,2.328,2.363428571,2.045714286
3.105714286,2.599857143,2.328,2.363428571,2.045714286,1.109
2.599857143,2.328,2.363428571,2.045714286,1.109,0.700142857
2.328,2.363428571,2.045714286,1.109,0.700142857,0.784714286
2.363428571,2.045714286,1.109,0.700142857,0.784714286,0.256714286
2.045714286,1.109,0.700142857,0.784714286,0.256714286,0.188285714
1.109,0.700142857,0.784714286,0.256714286,0.188285714,2.202142857
0.700142857,0.784714286,0.256714286,0.188285714,2.202142857,0.413571429
0.784714286,0.256714286,0.188285714,2.202142857,0.413571429,0.193
0.256714286,0.188285714,2.202142857,0.413571429,0.193,0.215857143
0.188285714,2.202142857,0.413571429,0.193,0.215857143,1.719142857
2.202142857,0.413571429,0.193,0.215857143,1.719142857,0.386571429
0.413571429,0.193,0.215857143,1.719142857,0.386571429,3.692857143
0.193,0.215857143,1.719142857,0.386571429,3.692857143,0.102
0.215857143,1.719142857,0.386571429,3.692857143,0.102,0.027857143
1.719142857,0.386571429,3.692857143,0.102,0.027857143,0.232857143
0.386571429,3.692857143,0.102,0.027857143,0.232857143,0.139285714
3.692857143,0.102,0.027857143,0.232857143,0.139285714,0.133
0.102,0.027857143,0.232857143,0.139285714,0.133,0.14
0.027857143,0.232857143,0.139285714,0.133,0.14,0.162571429
0.232857143,0.139285714,0.133,0.14,0.162571429,0.183285714
0.139285714,0.133,0.14,0.162571429,0.183285714,0.384714286
0.133,0.14,0.162571429,0.183285714,0.384714286,0.830857143
0.14,0.162571429,0.183285714,0.384714286,0.830857143,0.587428571
0.162571429,0.183285714,0.384714286,0.830857143,0.587428571,0.598714286
0.183285714,0.384714286,0.830857143,0.587428571,0.598714286,0.783142857
0.384714286,0.830857143,0.587428571,0.598714286,0.783142857,0.602
0.830857143,0.587428571,0.598714286,0.783142857,0.602,0.471857143
0.587428571,0.598714286,0.783142857,0.602,0.471857143,0.415571429
0.598714286,0.783142857,0.602,0.471857143,0.415571429,0.399857143
0.783142857,0.602,0.471857143,0.415571429,0.399857143,0.431714286
0.602,0.471857143,0.415571429,0.399857143,0.431714286,0.444285714
0.471857143,0.415571429,0.399857143,0.431714286,0.444285714,0.583714286
0.415571429,0.399857143,0.431714286,0.444285714,0.583714286,0.544428571
0.399857143,0.431714286,0.444285714,0.583714286,0.544428571,1.658285714
0.431714286,0.444285714,0.583714286,0.544428571,1.658285714,0.573714286
0.444285714,0.583714286,0.544428571,1.658285714,0.573714286,0.581285714
0.583714286,0.544428571,1.658285714,0.573714286,0.581285714,0.506428571
0.544428571,1.658285714,0.573714286,0.581285714,0.506428571,0.555
1.658285714,0.573714286,0.581285714,0.506428571,0.555,0.477714286
0.573714286,0.581285714,0.506428571,0.555,0.477714286,0.543285714
0.581285714,0.506428571,0.555,0.477714286,0.543285714,0.525142857
0.506428571,0.555,0.477714286,0.543285714,0.525142857,0.707
0.555,0.477714286,0.543285714,0.525142857,0.707,1.078428571
0.477714286,0.543285714,0.525142857,0.707,1.078428571,1.130714286
0.543285714,0.525142857,0.707,1.078428571,1.130714286,1.077714286
0.525142857,0.707,1.078428571,1.130714286,1.077714286,0.909571429
0.707,1.078428571,1.130714286,1.077714286,0.909571429,1.321428571
