Q-2,Q-1,Q,Q+1,Q+2
0.200428571,0.153142857,0.135785714,0.145714286,0.396428571
0.153142857,0.135785714,0.145714286,0.396428571,0.418571429
0.135785714,0.145714286,0.396428571,0.418571429,0.754285714
0.145714286,0.396428571,0.418571429,0.754285714,0.439285714
0.396428571,0.418571429,0.754285714,0.439285714,0.428571429
0.418571429,0.754285714,0.439285714,0.428571429,0.410714286
0.754285714,0.439285714,0.428571429,0.410714286,0.418571429
0.439285714,0.428571429,0.410714286,0.418571429,0.829285714
0.428571429,0.410714286,0.418571429,0.829285714,0.603571429
0.410714286,0.418571429,0.829285714,0.603571429,0.605714286
0.418571429,0.829285714,0.603571429,0.605714286,1.075
0.829285714,0.603571429,0.605714286,1.075,1.603571429
0.603571429,0.605714286,1.075,1.603571429,1.442142857
0.605714286,1.075,1.603571429,1.442142857,0.986428571
1.075,1.603571429,1.442142857,0.986428571,0.88
1.603571429,1.442142857,0.986428571,0.88,0.294285714
1.442142857,0.986428571,0.88,0.294285714,0.184285714
0.986428571,0.88,0.294285714,0.184285714,0.157857143
0.88,0.294285714,0.184285714,0.157857143,0.171428571
0.294285714,0.184285714,0.157857143,0.171428571,0.164285714
0.184285714,0.157857143,0.171428571,0.164285714,0.147857143
0.157857143,0.171428571,0.164285714,0.147857143,0.084285714
0.171428571,0.164285714,0.147857143,0.084285714,0.082928571
0.164285714,0.147857143,0.084285714,0.082928571,0.078571429
0.147857143,0.084285714,0.082928571,0.078571429,0.074357143
0.084285714,0.082928571,0.078571429,0.074357143,0.060714286
0.082928571,0.078571429,0.074357143,0.060714286,0.074285714
0.078571429,0.074357143,0.060714286,0.074285714,0.08
0.074357143,0.060714286,0.074285714,0.08,0.143571429
0.060714286,0.074285714,0.08,0.143571429,0.090714286
0.074285714,0.08,0.143571429,0.090714286,0.385
0.08,0.143571429,0.090714286,0.385,0.043571429
0.143571429,0.090714286,0.385,0.043571429,0.078571429
0.090714286,0.385,0.043571429,0.078571429,0.106428571
0.385,0.043571429,0.078571429,0.106428571,0.152857143
0.043571429,0.078571429,0.106428571,0.152857143,0.397857143
0.078571429,0.106428571,0.152857143,0.397857143,0.477142857
0.106428571,0.152857143,0.397857143,0.477142857,0.822857143
0.152857143,0.397857143,0.477142857,0.822857143,2.016428571
0.397857143,0.477142857,0.822857143,2.016428571,1.625
0.477142857,0.822857143,2.016428571,1.625,2.117142857
0.822857143,2.016428571,1.625,2.117142857,1.055714286
2.016428571,1.625,2.117142857,1.055714286,1.02
1.625,2.117142857,1.055714286,1.02,0.29
2.117142857,1.055714286,1.02,0.29,0.157857143
1.055714286,1.02,0.29,0.157857143,0.126428571
1.02,0.29,0.157857143,0.126428571,0.1
0.29,0.157857143,0.126428571,0.1,0.085714286
0.157857143,0.126428571,0.1,0.085714286,0.056428571
0.126428571,0.1,0.085714286,0.056428571,0.062142857
0.1,0.085714286,0.056428571,0.062142857,0.085
0.085714286,0.056428571,0.062142857,0.085,0.093571429
0.056428571,0.062142857,0.085,0.093571429,0.085
0.062142857,0.085,0.093571429,0.085,0.163571429
0.085,0.093571429,0.085,0.163571429,0.255
0.093571429,0.085,0.163571429,0.255,0.287857143
0.085,0.163571429,0.255,0.287857143,0.381428571
0.163571429,0.255,0.287857143,0.381428571,0.334285714
0.255,0.287857143,0.381428571,0.334285714,0.426428571
0.287857143,0.381428571,0.334285714,0.426428571,0.432857143
0.381428571,0.334285714,0.426428571,0.432857143,0.502857143
0.334285714,0.426428571,0.432857143,0.502857143,0.585714286
0.426428571,0.432857143,0.502857143,0.585714286,0.633571429
0.432857143,0.502857143,0.585714286,0.633571429,3.319285714
0.502857143,0.585714286,0.633571429,3.319285714,6.555
0.585714286,0.633571429,3.319285714,6.555,5.486428571
0.633571429,3.319285714,6.555,5.486428571,2.78
3.319285714,6.555,5.486428571,2.78,0.797857143
6.555,5.486428571,2.78,0.797857143,0.487142857
5.486428571,2.78,0.797857143,0.487142857,0.251428571
2.78,0.797857143,0.487142857,0.251428571,0.199285714
0.797857143,0.487142857,0.251428571,0.199285714,0.172142857
0.487142857,0.251428571,0.199285714,0.172142857,0.151428571
0.251428571,0.199285714,0.172142857,0.151428571,0.131428571
0.199285714,0.172142857,0.151428571,0.131428571,0.11
0.172142857,0.151428571,0.131428571,0.11,0.103571429
0.151428571,0.131428571,0.11,0.103571429,0.14
0.131428571,0.11,0.103571429,0.14,0.201428571
0.11,0.103571429,0.14,0.201428571,0.189285714
0.103571429,0.14,0.201428571,0.189285714,0.254285714
0.14,0.201428571,0.189285714,0.254285714,0.290714286
0.201428571,0.189285714,0.254285714,0.290714286,0.355
0.189285714,0.254285714,0.290714286,0.355,0.330714286
0.254285714,0.290714286,0.355,0.330714286,0.361428571
0.290714286,0.355,0.330714286,0.361428571,0.372142857
0.355,0.330714286,0.361428571,0.372142857,0.375714286
0.330714286,0.361428571,0.372142857,0.375714286,0.492857143
0.361428571,0.372142857,0.375714286,0.492857143,0.417142857
0.372142857,0.375714286,0.492857143,0.417142857,0.426428571
0.375714286,0.492857143,0.417142857,0.426428571,0.627142857
0.492857143,0.417142857,0.426428571,0.627142857,1.022142857
